"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100 nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2","1","1 nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C3","1","470 nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4","1","100 pF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C5,C7","2","10 nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C6","1","2.5 nF","","","","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","LED","","","","LED_SMD:LED_1206_3216Metric","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.5mm","~"
"IC1","1","EM4095","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"J1","1","Conn_01x06","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"R1","1","33 kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","1kΩ","","","","Resistor_SMD:R_1206_3216Metric","~"
"U1","1","560uH","","","","PCB Coils:RFID_COIL",""
"U2","1","AMS1117-5.0","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
